brand,item_category,item_img,item_name,item_num,item_brand,item_price
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923206/3923206_17097137437633_500.jpg,MAX WIDE DENIM PANTS [CRAZY BLUE],BRWLPT05CB,BRANDED,"198,000원 158,400원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923205/3923205_17097136906874_500.jpg,MAX WIDE DENIM PANTS [LIGHT BLUE],BRWLPT05LB,BRANDED,"178,000원 142,400원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923204/3923204_17097888318033_500.jpg,MAX WIDE DENIM PANTS [MID BLUE],BRWLPT05MB,BRANDED,"178,000원 142,400원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923202/3923202_17097135182478_500.jpg,CARPENTER DENIM PANTS [WASHED BLACK],BRWLPT03BK,BRANDED,"128,000원 96,000원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923201/3923201_17097134636778_500.jpg,CARPENTER DENIM PANTS [VINTAGE BLUE],BRWLPT03VB,BRANDED,"128,000원 96,000원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923200/3923200_17097139340058_500.jpg,WIDE DENIM PANTS [WASHED BLACK],BRWLPT06BK,BRANDED,"89,000원 53,400원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923198/3923198_17097131830126_500.jpg,51077 KURABO WHITE SHARK JEANS [EXTRA WIDE STRAIGHT],LOT51077,BRANDED,"138,000원 103,500원"
BRANDED,바지,https://image.msscdn.net/images/goods_img/20240305/3923196/3923196_17097131353701_500.jpg,1859 POISON TREE JEANS [EXTRA WIDE STRAIGHT],LOT1859,BRANDED,"108,000원 81,000원"
BRANDED,상의,https://image.msscdn.net/images/goods_img/20240305/3923140/3923140_17097727040244_500.jpg,LOUNGE WOOL SPRING KNIT [NATURAL GREY],BRWLKN03NG,BRANDED,"128,000원 96,000원"
BRANDED,상의,https://image.msscdn.net/images/goods_img/20240305/3923139/3923139_17097737017566_500.jpg,LOUNGE WOOL SPRING KNIT [KHAKI BROWN],BRWLKN03KB,BRANDED,"128,000원 96,000원"
BRANDED,상의,https://image.msscdn.net/images/goods_img/20240305/3923135/3923135_17097211378552_500.jpg,LOUNGE WOOL SPRING KNIT [GREY],BRWLKN03GR,BRANDED,"128,000원 96,000원"
