brand,item_category,item_img,item_name,item_num,item_price
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20220307/2402084/2402084_16841436059942_500.jpg,CGP 심플 아치 로고 티셔츠_그린,CBCU3TS300GN,"29,000원 25,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230517/3300747/3300747_16842870095556_500.jpg,C.GRAPHY 아치로고 반팔 티셔츠,CBCU3TS036,"34,000원 30,600원"
CODEGRAPHY,스커트,https://image.msscdn.net/images/goods_img/20240131/3837482/3837482_17078859867754_500.jpg,(우먼) 트랙 트레이닝 롱 스커트_2color,CBDSWTQ600,"59,000원 53,100원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20200909/1593175/1593175_16982093090388_500.jpg,[DIVO] RDS 유틸리티 덕다운 후드 숏패딩_블랙,CBCWUIH002BK,"159,000원 129,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230801/3438722/3438722_16916482096407_500.jpg,[SET] 스포티 배색 맨투맨 셋업_네이비,CBCFUTL130NYCBCFUTP130NY,"137,900원 95,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230801/3438923/3438923_16916481410228_500.jpg,C.GRAPHY 아치 로고 후디_블루,CBDSUTH512BL,"74,000원 66,600원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240131/3837513/3837513_17067653953979_500.jpg,(우먼) 옥스포드 아노락 후드_레몬,CBDSWWH551LM,"79,000원 71,100원"
CODEGRAPHY,가방,https://image.msscdn.net/images/goods_img/20230919/3575306/3575306_16964888082684_500.jpg,WAVE 로고 심볼 에펠백_3color,CBCFUBP003,"89,000원 71,100원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240201/3841149/3841149_17079083293743_500.jpg,ARC 로고 져지 롱슬리브_라이트그레이,CBDUUTL002LG,"69,000원 62,100원"
CODEGRAPHY,스포츠/용품,https://image.msscdn.net/images/goods_img/20240117/3803166/3803166_17059007704952_500.jpg,(우먼) WAVE 로고 심볼 스포츠 롤백_2color,CBDUWBS821,"69,000원 62,100원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20200729/1530522/1530522_17056440028293_500.jpg,[24년ver.] 테크 스트링 팬츠_베이지,CBDAUWP100BE,"49,000원 37,240원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20240112/3791025/3791025_17054749572348_500.jpg,시스루 나일론 투톤 바람막이_라이트그레이,CBDSUJP312LG,"129,000원 89,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230801/3438904/3438904_16928650603991_500.jpg,CGP ARC 로고 후디_차콜,CBCFUTH085CH,"74,000원 59,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20220825/2744498/2744498_1_500.jpg,양털 카라 2-WAY 유틸리티 MA-1 자켓_블랙,CBBW9JK060BK,"109,000원 89,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20220825/2744496/2744496_2_500.jpg,헤비 보아 절개 유틸리티 플리스 점퍼_블랙,CBBW9JK080BK,"89,000원 69,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20240112/3791028/3791028_17054749342352_500.jpg,코팅 패널 나일론 바이커 바람막이_블랙,CBDSUJP313BK,"109,000원 98,100원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20211227/2283949/2283949_1_500.jpg,(우먼) CGP 아치 로고 트레이닝 팬츠_멜란지그레이,CBCFWTP105MG,"49,000원 44,100원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20200417/1409900/1409900_16842036867105_500.jpg,나일론 메탈 카고 쇼츠_라이트그레이,CBCU3PS007LG,"44,000원 39,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20240201/3841157/3841157_17079082718507_500.jpg,라운드 절개 배색 아노락_블랙,CBDSUWH120BK,"79,000원 59,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20240201/3841161/3841161_17079082504192_500.jpg,유틸리티 나일론 후드 베스트_블랙,CBDSUVT110BK,"79,000원 59,900원"
CODEGRAPHY,여성 가방,https://image.msscdn.net/images/goods_img/20240111/3790730/3790730_17071116711493_500.jpg,WAVE 로고 심볼 미니 캔버스 크로스백_2color,CBDSUBC814,"59,000원 53,100원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20210722/2037722/2037722_17056392047302_500.jpg,CGP 아치 로고 트레이닝 팬츠_그린,CBDAUTP100GN,"59,000원 47,790원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230919/3575333/3575333_16957116762594_500.jpg,WAVE 로고 심볼 배색 맨투맨_인디핑크,CBCFUTL066IP,"69,000원 59,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240111/3790767/3790767_17049769034426_500.jpg,유니버스 빈티지 오버핏 롱슬리브_블랙,CBDSUTL590BK,"59,000원 39,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20211227/2283847/2283847_1_500.jpg,CGP 아치 로고 후디_레드,CBBS1TH070RD,"59,000원 53,100원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20230201/3052579/3052579_16830851910350_500.jpg,[4-CHOICE] 솔리드 하프집업 아노락 셋업_블랙,CBCU3TL001BKCBCU3TS001BKCBCU3PL001BKCBCU3PS101BK,"72,900원 57,900원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20220518/2567748/2567748_16817853843227_500.jpg,크리스피 나일론 쇼츠_카키,CBCU3PS002KK,"34,000원 29,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230802/3442220/3442220_16916478694478_500.jpg,24H 트랙 트레이닝 조거 팬츠_블랙,CBDSUTP110BK,"59,000원 49,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20230907/3540648/3540648_16947570653245_500.jpg,리버시블 플리스 퀼팅 가디건_크림,CBCFUJC004CR,"109,000원 89,900원"
CODEGRAPHY,바지,https://image.msscdn.net/images/goods_img/20210409/1891008/1891008_16817857549897_500.jpg,소프트 코튼 에센셜 쇼츠_블랙,CBBU3PS070BK,"36,000원 29,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230109/3011226/3011226_16738730767567_500.jpg,[SET] 나일론 믹스 매치 스웨트 후디 셋업_네이비,CBCS1TH014NYCBCS1PL014GR,"112,900원 79,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240111/3790749/3790749_17049764928322_500.jpg,C.GRAPHY 싸커 브이넥 카라 니트_블랙,CBDSUKL302BK,"89,000원 59,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20230907/3540630/3540630_16946034151197_500.jpg,헤비보아 코듀로이 무톤 자켓_네이비,5007057656,"119,000원 99,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230801/3438882/3438882_16928648219779_500.jpg,코드그라피 스몰 로고 후디_브라운,CBCFUTH089BR,"69,000원 59,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240131/3837503/3837503_17067654704691_500.jpg,(우먼) 스포티 메탈 저지 롱슬리브_블랙,CBDSWTL595BK,"69,000원 62,100원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20211001/2158902/2158902_16932030109864_500.jpg,[PRIMALOFT] 몬스터 롱파카_블랙,CBBW9IL010BK,"184,000원 139,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20230801/3438708/3438708_16928648588971_500.jpg,코드그라피 자수 로고 맨투맨_블랙,CBCFUTL088BK,"59,000원 49,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20231004/3601770/3601770_16965587925874_500.jpg,WOOL 더플 숏 코트_브라운,CBCWUCS028BR,"159,000원 129,900원"
CODEGRAPHY,아우터,https://image.msscdn.net/images/goods_img/20231004/3602355/3602355_16965587647399_500.jpg,[DIVO] RDS 유틸리티 덕다운 베스트_라이트베이지,CBCWUIV001LB,"109,000원 89,900원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20240201/3841151/3841151_17079083152689_500.jpg,시티보이 옴브레 체크 셔츠_스카이블루,CBDUUSH402SB,"79,000원 71,100원"
CODEGRAPHY,상의,https://image.msscdn.net/images/goods_img/20211227/2283937/2283937_1_500.jpg,(우먼) CGP 아치 로고 크롭 후디_멜란지그레이,CBCFWTH105MG,"59,000원 53,100원"
