brand,item_category,item_img,item_name,item_num,item_brand,item_price
DISCOVERYEXPEDITION,가방,https://image.msscdn.net/images/goods_img/20231103/3684039/3684039_17068536650225_500.jpg,라이크 에어 플로 백팩 (D.GREY),DXBK0034N-DGS,DISCOVERY EXPEDITION,"169,000원"
DISCOVERYEXPEDITION,여성 가방,https://image.msscdn.net/images/goods_img/20230818/3476815/3476815_16941571247195_500.jpg,멜로즈 퀼팅 숄더백 M (BLACK),DXCR0563N-BKS,DISCOVERY EXPEDITION,"89,000원"
DISCOVERYEXPEDITION,아우터,https://image.msscdn.net/images/goods_img/20230821/3479997/3479997_16977835225792_500.jpg,여성 레스터G RDS 구스다운 롱패딩 (BLACK),DWDJ5D036-BKS,DISCOVERY EXPEDITION,"399,000원"
DISCOVERYEXPEDITION,바지,https://image.msscdn.net/images/goods_img/20230413/3231603/3231603_16813561340915_500.jpg,세미와이드 면스판 남성 쇼츠 (L/BEIGE),DMSP51033-BGL,DISCOVERY EXPEDITION,"89,000원 53,400원"
DISCOVERYEXPEDITION,상의,https://image.msscdn.net/images/goods_img/20240103/3773621/3773621_17095263816797_500.jpg,킨조 바시티 테니스 그래픽 티셔츠 (M/GREY),DXRS5M043-MGS,DISCOVERY EXPEDITION,"69,000원"
DISCOVERYEXPEDITION,바지,https://image.msscdn.net/images/goods_img/20230224/3106101/3106101_16772224388147_500.jpg,남성 프레시벤트 테이퍼드 카고조거팬츠 (BLACK),DMPT73033-BKS,DISCOVERY EXPEDITION,"149,000원 89,400원"
DISCOVERYEXPEDITION,아우터,https://image.msscdn.net/images/goods_img/20230830/3514822/3514822_16970083666373_500.jpg,남성 픽시버G 튜브 구스다운 경량패딩 (GREY),DMDJ71036-GRS,DISCOVERY EXPEDITION,"169,000원 118,300원"
DISCOVERYEXPEDITION,스포츠/용품,https://image.msscdn.net/images/goods_img/20230331/3198883/3198883_16819679243234_500.jpg,로고 여성 워터레깅스 (BLACK),DWSBL3033-BKS,DISCOVERY EXPEDITION,"79,000원 47,400원"
DISCOVERYEXPEDITION,상의,https://image.msscdn.net/images/goods_img/20230113/3022862/3022862_16771359298971_500.jpg,캘리그라피 타이포 맨투맨 (BLUE),DXMT15031-BLS,DISCOVERY EXPEDITION,"99,000원 59,400원"
DISCOVERYEXPEDITION,가방,https://image.msscdn.net/images/goods_img/20230822/3484180/3484180_16982033373801_500.jpg,멜로즈 퀼팅 버킷백 (BLACK),DXTG0573N-BKS,DISCOVERY EXPEDITION,"89,000원"
DISCOVERYEXPEDITION,스포츠/용품,https://image.msscdn.net/images/goods_img/20230103/3003979/3003979_16727147178760_500.jpg,베이직 크롭 여성 래쉬가드 (BLACK),DWSW91033-BKS,DISCOVERY EXPEDITION,"89,000원 53,400원"
DISCOVERYEXPEDITION,스니커즈,https://image.msscdn.net/images/goods_img/20230718/3413094/3413094_16896469235053_500.jpg,코트 맥스 (BLACK),DXSH3133N-BKS,DISCOVERY EXPEDITION,"129,000원 90,300원"
DISCOVERYEXPEDITION,스니커즈,https://image.msscdn.net/images/goods_img/20221220/2990141/2990141_1_500.jpg,뮬리 V2 (BEIGE),DXSH3213N-BGS,DISCOVERY EXPEDITION,"99,000원"
DISCOVERYEXPEDITION,아우터,https://image.msscdn.net/images/goods_img/20240117/3801537/3801537_17078059007978_500.jpg,여성 프리미엄 스트레치 자켓 (DARK BLUE),DWWJG2041-DBS,DISCOVERY EXPEDITION,"179,000원"
DISCOVERYEXPEDITION,가방,https://image.msscdn.net/images/goods_img/20231102/3679799/3679799_16989066025523_500.jpg,라이크 에어 플로 메신저백 (BLACK),DXMR0104N-BKS,DISCOVERY EXPEDITION,"119,000원"
DISCOVERYEXPEDITION,가방,https://image.msscdn.net/images/goods_img/20231102/3679809/3679809_16989066223977_500.jpg,라이크 에어 시프트2 메신저백 (CREAM),DXMR0124N-CRS,DISCOVERY EXPEDITION,"119,000원"
DISCOVERYEXPEDITION,상의,https://image.msscdn.net/images/goods_img/20240103/3773580/3773580_17078059409427_500.jpg,오버핏 반팔티셔츠 (L/PEACH),DXRS51043-PCL,DISCOVERY EXPEDITION,"49,000원"
DISCOVERYEXPEDITION,스포츠/용품,https://image.msscdn.net/images/goods_img/20240201/3840506/3840506_17101187674479_500.jpg,여성 골지 브라탑 (IVORY),DWBR42041-IVS,DISCOVERY EXPEDITION,"49,000원"
DISCOVERYEXPEDITION,가방,https://image.msscdn.net/images/goods_img/20230112/3020360/3020360_16734869513380_500.jpg,스틸리 포켓 메신저 (BEIGE),DXMR4083N-BES,DISCOVERY EXPEDITION,"109,000원 65,400원"
DISCOVERYEXPEDITION,스니커즈,https://image.msscdn.net/images/goods_img/20240202/3844314/3844314_17071178483401_500.jpg,고프코어 트레킹 (PURPLE),DXSH4714N-PPS,DISCOVERY EXPEDITION,"199,000원"
DISCOVERYEXPEDITION,아우터,https://image.msscdn.net/images/goods_img/20230829/3510351/3510351_16971653639173_500.jpg,남성 픽토르U 구스다운 경량패딩 (L/KHAKI),DMDJ51036-KAL,DISCOVERY EXPEDITION,"169,000원"
DISCOVERYEXPEDITION,아우터,https://image.msscdn.net/images/goods_img/20230906/3534236/3534236_16970084053373_500.jpg,남성 픽토르 튜브 구스다운 경량패딩 (D.GREY),DMDJ75036-DGS,DISCOVERY EXPEDITION,"199,000원 139,300원"
DISCOVERYEXPEDITION,바지,https://image.msscdn.net/images/goods_img/20240125/3821559/3821559_17064926497913_500.jpg,남성 애슬레저 트레이닝 조거팬츠 (D/BEIGE),DMTP11041-BGD,DISCOVERY EXPEDITION,"99,000원"
DISCOVERYEXPEDITION,상의,https://image.msscdn.net/images/goods_img/20230317/3159749/3159749_16872429431447_500.jpg,레터링포인트 남성 슬리브리스 (L/KHAKI),DMSL51033-KAL,DISCOVERY EXPEDITION,"49,000원 29,400원"
