brand,item_category,item_img,item_name,item_num,item_brand,item_price
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20221109/2931722/2931722_1_500.jpg,TR Two Tuck Wide Pants - Ivory,PT063IV,NOT4NERD,"82,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20221109/2931721/2931721_1_500.jpg,Side One Tuck Denim Balloon Pants - Black,PT064BK,NOT4NERD,"82,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20221109/2931720/2931720_1_500.jpg,Side One Tuck Denim Balloon Pants - Deep Blue,PT064DB,NOT4NERD,"82,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20221109/2931719/2931719_1_500.jpg,Side One Tuck Denim Balloon Pants - Pink,PT064PK,NOT4NERD,"82,000원 49,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859675/2859675_1_500.jpg,NFND Logo Standard Varsity Jacket - Black,JK031BK,NOT4NERD,"198,000원 138,500원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859673/2859673_1_500.jpg,NFND Logo Standard Varsity Jacket - Brown,JK031BR,NOT4NERD,"198,000원 138,500원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859672/2859672_2_500.jpg,NFND Logo Nylon Varsity Jacket - Black,JK032BK,NOT4NERD,"148,000원 118,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859670/2859670_2_500.jpg,NFND Logo Nylon Varsity Jacket - Navy,JK032NY,NOT4NERD,"148,000원 118,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859639/2859639_2_500.jpg,Fur Trucker Jacket - Black,JK033BK,NOT4NERD,"148,000원 118,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20221013/2859638/2859638_2_500.jpg,Fur Trucker Jacket - Brown,JK033BR,NOT4NERD,"148,000원 118,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720081/2720081_1_500.jpg,Pigment Wet Logo Pullover Hood - Dark Grey,HD043CH,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720080/2720080_1_500.jpg,Pigment Wet Logo Pullover Hood - Blue,HD043BL,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720079/2720079_1_500.jpg,Pigment Wet Logo Pullover Hood - Red,HD043RD,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720077/2720077_1_500.jpg,Sweet Home Pullover Hood - Black,HD044BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720076/2720076_1_500.jpg,Sweet Home Pullover Hood - Khaki,HD044KH,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720075/2720075_1_500.jpg,Sweet Home Pullover Hood - Light Grey,HD044LG,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720073/2720073_1_500.jpg,Shark Infested Waters Pullover Hood - Black,HD048BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720072/2720072_1_500.jpg,Shark Infested Waters Pullover Hood - Navy,HD048NY,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720071/2720071_1_500.jpg,Shark Infested Waters Pullover Hood - Light Grey,HD048LG,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720070/2720070_1_500.jpg,Handprint Pullover Hood - Black,HD049BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720069/2720069_1_500.jpg,Handprint Pullover Hood - Khaki,HD049KH,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720068/2720068_1_500.jpg,Handprint Pullover Hood - Grey,HD049GR,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720067/2720067_1_500.jpg,Dancing Doll Pullover Hood - Black,HD047BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720066/2720066_1_500.jpg,Dancing Doll Pullover Hood - Ivory,HD047IV,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720065/2720065_1_500.jpg,Five Men Pullover Hood - Black,HD045BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720064/2720064_1_500.jpg,Five Men Pullover Hood - Khaki,HD045KH,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720063/2720063_3_500.jpg,3D Line Logo Pullover Hood - Black,HD046BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720062/2720062_1_500.jpg,3D Line Logo Pullover Hood - Indigo Blue,HD046DB,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720061/2720061_1_500.jpg,3D Line Logo Pullover Hood - Light Grey,HD046LG,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720058/2720058_1_500.jpg,Stuffed Butterfly Crewneck - Black,CW038BK,NOT4NERD,"69,000원 55,200원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720057/2720057_1_500.jpg,Stuffed Butterfly Crewneck - Navy,CW038NY,NOT4NERD,"69,000원 55,200원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720056/2720056_1_500.jpg,Stuffed Butterfly Crewneck - Light Grey,CW038LG,NOT4NERD,"69,000원 55,200원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220816/2720055/2720055_1_500.jpg,Angry Cat Crewneck - Black,CW037BK,NOT4NERD,"69,000원 55,200원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220530/2591074/2591074_1_500.jpg,22 Graphic Printed Cotton Pants - Black,PT055BK,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220530/2591073/2591073_1_500.jpg,22 Graphic Printed Cotton Pants - Ivory,PT055IV,NOT4NERD,"89,000원 49,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501609/2501609_1_500.jpg,Brush Circle Logo T-Shirts - Beach,TS060BC,NOT4NERD,"39,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501607/2501607_1_500.jpg,Little Girl T-Shirts - White,TS061WH,NOT4NERD,"42,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501606/2501606_1_500.jpg,Little Girl T-Shirts - Purple,TS061PP,NOT4NERD,"42,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501603/2501603_1_500.jpg,Mask T-Shirts - Khaki,TS058KH,NOT4NERD,"39,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501597/2501597_1_500.jpg,Metal Logo T-Shirts - Skyblue,TS062SB,NOT4NERD,"39,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501596/2501596_1_500.jpg,Tiger Head Trophy T-Shirts - Black,TS055BK,NOT4NERD,"39,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501594/2501594_1_500.jpg,Lung T-Shirts - Black,TS056BK,NOT4NERD,"39,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220419/2501593/2501593_1_500.jpg,Lung T-Shirts - White,TS056WH,NOT4NERD,"39,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501495/2501495_1_500.jpg,Semi Bootcut Straight Denim Pants - Black,PT056BK,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501493/2501493_1_500.jpg,Semi Bootcut Straight Denim Pants - Light Blue,PT056LB,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501492/2501492_1_500.jpg,Semi Bootcut Straight Denim Pants - Ivory,PT056IV,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501399/2501399_1_500.jpg,Two Tuck Wide Cotton Pants - Black,PT054BK,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501397/2501397_1_500.jpg,Two Tuck Wide Cotton Pants - Charcoal,PT054DG,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501396/2501396_1_500.jpg,Two Tuck Wide Cotton Pants - Navy,PT054NY,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501395/2501395_1_500.jpg,Two Tuck Wide Cotton Pants - Ivory,PT054IV,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501394/2501394_1_500.jpg,Two Tuck Wide Cotton Pants - Beige,PT054BG,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220419/2501312/2501312_1_500.jpg,Carbon Baggy Pants - Black,PT051,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220313/2414708/2414708_1_500.jpg,Loose Wide Denim Pants - Black,PT050BK,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220313/2414707/2414707_2_500.jpg,Loose Wide Denim Pants - Deep Blue,PT050DB,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220313/2414706/2414706_1_500.jpg,Loose Wide Denim Pants - Light Blue,PT050LB,NOT4NERD,"89,000원 49,000원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335745/2335745_1_500.jpg,D Brush Logo Jogger Pants - Grey,PT049GR,NOT4NERD,"89,000원 43,500원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335743/2335743_1_500.jpg,D Brush Logo Jogger Pants - Ivory,PT049IV,NOT4NERD,"89,000원 43,500원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335742/2335742_1_500.jpg,D Brush Logo Jogger Pants - Navy,PT049NV,NOT4NERD,"89,000원 43,500원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335741/2335741_1_500.jpg,D Brush Logo Jogger Pants - Khaki,PT049KH,NOT4NERD,"89,000원 43,500원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335740/2335740_1_500.jpg,D Brush Logo Jogger Pants - Green,PT049GN,NOT4NERD,"89,000원 43,500원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335732/2335732_1_500.jpg,D Brush Logo Pullover Hood - Green,HD038GN,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335730/2335730_1_500.jpg,Arch D Logo Pullover Hood - Grey,HD037GR,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335728/2335728_1_500.jpg,My Little Sister Pullover Hood - Black,HD042BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335727/2335727_1_500.jpg,My Little Sister Pullover Hood - Ivory,HD042IV,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335726/2335726_1_500.jpg,Tiger Pullover Hood - Black,HD039BK,NOT4NERD,"79,000원 59,000원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335708/2335708_1_500.jpg,Melting Smile Crewneck - Black,CW036BK,NOT4NERD,"69,000원 55,200원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335707/2335707_1_500.jpg,Melting Smile Crewneck - Grey,CW036GR,NOT4NERD,"69,000원 55,200원"
NOT4NERD,상의,https://image.msscdn.net/images/goods_img/20220127/2335706/2335706_1_500.jpg,Melting Smile Crewneck - Navy,CW036NV,NOT4NERD,"69,000원 55,200원"
NOT4NERD,바지,https://image.msscdn.net/images/goods_img/20220127/2335698/2335698_2_500.jpg,Banding One Tuck Wide Denim Pants - Ivory,PT048IV,NOT4NERD,"89,000원 49,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20211018/2184159/2184159_3_500.jpg,Vegan Leather Field Jacket - Black,JK022BK,NOT4NERD,"189,000원 132,000원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20211018/2184157/2184157_3_500.jpg,Vegan Leather MA-1 Jumper - Black,JK024BK,NOT4NERD,"185,000원 129,500원"
NOT4NERD,아우터,https://image.msscdn.net/images/goods_img/20211018/2184156/2184156_3_500.jpg,Vegan Leather Single Jacket - Black,JK023BK,NOT4NERD,"129,000원 90,500원"
