brand,item_category,item_img,item_name,item_num,item_price
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220810/2711149/2711149_1_500.jpg,시티보이 보트자수 린넨 오버핏 셔츠 (NAVY),TRSSH004-02NV,"49,000원 42,000원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220810/2711148/2711148_1_500.jpg,시티보이 보트자수 린넨 오버핏 셔츠 (BEIGE),TRSSH004-02BE,"49,000원 42,000원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220810/2711145/2711145_1_500.jpg,시티보이 보트자수 옥스포드 오버핏 셔츠 (PURPLE),TRSSH004-02PP,"49,000원 39,800원"
TRILLION,바지,https://image.msscdn.net/images/goods_img/20220810/2711142/2711142_1_500.jpg,바이오스톤 워싱 와이드 데님 팬츠 (CREAM),TRSDPT02CR,"54,000원 39,800원"
TRILLION,바지,https://image.msscdn.net/images/goods_img/20220809/2706287/2706287_1_500.jpg,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLUE),TRSDPT02BBL,"54,000원 39,800원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220508/2545217/2545217_1_500.jpg,릴렉스 코튼 투포켓 하프 셔츠 (PISTACHIO),TRSSH014GN,"58,000원 36,900원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220508/2545214/2545214_1_500.jpg,투포켓 웨스턴 반팔 셔츠 (BEIGE),TRSSH08BE,"59,000원 43,900원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220508/2545210/2545210_1_500.jpg,쿨 아노락 집업 하프 셔츠 (WHITE),TRSSH11WH,"58,000원 46,100원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220508/2545209/2545209_1_500.jpg,시티보이 오버핏 데님 반팔 셔츠 (BLACK),TRSSH06BK,"52,000원 39,800원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220508/2545208/2545208_1_500.jpg,시티보이 오버핏 데님 반팔 셔츠 (MIDDLE BLUE),TRSSH06MB,"52,000원 39,800원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220504/2541431/2541431_1_500.jpg,시티보이 솔리드 럭비 카라 반팔 셔츠 (NAVY),TRSSH09NV,"59,000원 49,000원"
TRILLION,상의,https://image.msscdn.net/images/goods_img/20220416/2494152/2494152_1_500.jpg,레트로 스페이스 슈팅게임 반팔티셔츠 (BLACK),TRST10BK,"37,000원 27,950원"
