brand,item_category,item_img,item_name,item_num,item_brand,item_price
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20231212/3752992/3752992_17023700881089_500.jpg,SUPER FINE MERINO SHORT MUFFLER [IVORY],UNION-ACC02IV,UNION BLUE,"68,000원 54,400원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20231212/3752995/3752995_17023701594811_500.jpg,SUPER FINE MERINO SHORT MUFFLER [NAVY],UNION-ACC02NA,UNION BLUE,"68,000원 54,400원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20231212/3752993/3752993_17023701079036_500.jpg,SUPER FINE MERINO SHORT MUFFLER [MELANGE BROWN],UNION-ACC02MB,UNION BLUE,"68,000원 54,400원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20240116/3798149/3798149_17053917318861_500.jpg,PURE WOOL LONG MUFFLER [GREY],UNION-ACC03GR,UNION BLUE,"89,000원 80,100원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20240116/3798146/3798146_17053916600971_500.jpg,PURE WOOL LONG MUFFLER [RED],UNION-ACC03RD,UNION BLUE,"89,000원 80,100원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20240116/3798154/3798154_17053917830983_500.jpg,PURE WOOL LONG MUFFLER [MOCHA BROWN],UNION-ACC03MB,UNION BLUE,"89,000원 80,100원"
UNIONBLUE,아우터,https://image.msscdn.net/images/goods_img/20220927/2823098/2823098_1_500.jpg,70/30 FIELD JACKET (BROWN),UNI-22FW-JP01BR,UNION BLUE,"278,000원 264,000원"
UNIONBLUE,아우터,https://image.msscdn.net/images/goods_img/20220927/2823143/2823143_1_500.jpg,BACK FLAP SHELL PARKA (DOVE),UNI-22FW-JP03DO,UNION BLUE,"289,000원 274,000원"
UNIONBLUE,아우터,https://image.msscdn.net/images/goods_img/20220927/2823134/2823134_1_500.jpg,BACK FLAP SHELL PARKA (SILVER),UNI-22FW-JP03SI,UNION BLUE,"289,000원 274,000원"
UNIONBLUE,액세서리,https://image.msscdn.net/images/goods_img/20231212/3753003/3753003_17023703345995_500.jpg,SUPER FINE MERINO SHORT MUFFLER [MAROON],UNION-ACC02MA,UNION BLUE,"68,000원 54,400원"
UNIONBLUE,,,,,,
UNIONBLUE,상의,https://image.msscdn.net/images/goods_img/20231121/3726789/3726789_17005583714601_500.jpg,LAUNDRY SHIRT (PURPLE GRAY),UNION-SH05PG,UNION BLUE,"62,000원 59,000원"
UNIONBLUE,상의,https://image.msscdn.net/images/goods_img/20220222/2375962/2375962_1_500.jpg,LAUNDRY SHIRT (LAVENDER GRAY),UNION-SH05LG,UNION BLUE,"62,000원 59,000원"
