brand,item_category,item_img,item_name,item_num,item_brand,item_price
FABREGAT,아우터,https://image.msscdn.net/images/goods_img/20230824/3493005/3493005_17049566999961_500.jpg,바우어 스트랩 자켓 (브라운),Bauer Strap Jacket (Brown),FABREGAT,"186,000원 167,400원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230823/3492134/3492134_16932112627619_500.jpg,플라밍고 C/N 투턱 팬츠 (애쉬 브라운),Flamingo C/N Two Tuck Pants (Ash Brown)),FABREGAT,"87,000원 78,300원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230126/3040361/3040361_16747211508178_500.jpg,더블니 리벳 세미 와이드 팬츠 (차콜),Double Knee Rivet Semi Wide Pants (Charcoal),FABREGAT,"108,000원 97,200원"
FABREGAT,아우터,https://image.msscdn.net/images/goods_img/20231027/3664062/3664062_16998352782614_500.jpg,셔링 MA-1 덕 다운 패딩 (블랙),Shirring MA-1 Duck Down Padding (Black),FABREGAT,"248,000원 223,200원"
FABREGAT,상의,https://image.msscdn.net/images/goods_img/20220303/2394888/2394888_16747016064350_500.jpg,테일 라운드 오버 핏 니트 (블랙),Tail Round Over-Fit Knit (Black),FABREGAT,"108,000원 97,200원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230419/3246000/3246000_16835091392508_500.jpg,윈드 나일론 셔링 팬츠 (차콜),Wind Nylon Shirring Pants (Charcoal),FABREGAT,"82,000원 65,600원"
FABREGAT,아우터,https://image.msscdn.net/images/goods_img/20231027/3664079/3664079_16998353570990_500.jpg,웰링턴 알파카 발마칸 롱 코트 (멜란지 토프),Wellington Alpaca Balmacaan Long Coat (Melange Taupe),FABREGAT,"286,000원 257,400원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230420/3251042/3251042_16835092529288_500.jpg,윈드 나일론 셔링 팬츠 (라이트 카키),Wind Nylon Shirring Pants (Light Khaki),FABREGAT,"82,000원 65,600원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230426/3262293/3262293_16835243864654_500.jpg,피그먼트 버뮤다 하프 팬츠 (오가닉 카키),Pigment Bermuda Half Pants (Organic Khaki),FABREGAT,"84,000원 75,600원"
FABREGAT,바지,https://image.msscdn.net/images/goods_img/20230126/3040362/3040362_16747213290062_500.jpg,카본 지퍼 세미 와이드 카고 팬츠 (블랙),Carbon Zipper Semi Wide Cargo Pants,FABREGAT,"118,000원 106,200원"
