brand,item_category,item_img,item_name,item_num,item_brand,item_price
GLOWNY,상의,https://image.msscdn.net/images/goods_img/20230830/3515507/3515507_16982242455152_500.jpg,SAHARA DAMAGED WOOL KNIT TOP SET (CHARCOAL),GY23CPO005,GLOWNY,"178,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3515478/3515478_16947541455699_500.jpg,PEGGY WOOL CASHMERE KNIT CARDIGAN (CHARCOAL),GY23CCD03_CH,GLOWNY,"118,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3515476/3515476_16947539123364_500.jpg,PEGGY WOOL CASHMERE KNIT CARDIGAN (IVORY),GY23CCD03_IV,GLOWNY,"118,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3515468/3515468_16970185673200_500.jpg,YASMIN CROP CARDIGAN (CHARCOAL),GY23CCD04_CH,GLOWNY,"138,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3515464/3515464_16970191662116_500.jpg,YASMIN CROP CARDIGAN (LAVENDER),GY23CCD04_LV,GLOWNY,"138,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3515455/3515455_16970199585280_500.jpg,YASMIN CROP CARDIGAN (IVORY),GY23CCD04_IV,GLOWNY,"138,000원"
GLOWNY,양말/레그웨어,https://image.msscdn.net/images/goods_img/20230830/3515446/3515446_16956219965280_500.jpg,ISA KNIT WARMER (BLACK),GY23CHW002,GLOWNY,"68,000원"
GLOWNY,상의,https://image.msscdn.net/images/goods_img/20230830/3515420/3515420_16970202006972_500.jpg,ISA ASYMMETRICAL KNIT TOP (GRAY),GY23CPO008_GR,GLOWNY,"158,000원"
GLOWNY,상의,https://image.msscdn.net/images/goods_img/20230830/3515409/3515409_16970206679493_500.jpg,ISA ASYMMETRICAL KNIT TOP (BLACK),GY23CPO008_BK,GLOWNY,"158,000원"
GLOWNY,상의,https://image.msscdn.net/images/goods_img/20230830/3514126/3514126_16947535424676_500.jpg,DAYA MOHAIR KNIT HOODIE TOP (BLACK),GY23CPO006_BK,GLOWNY,"158,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3514101/3514101_16947429051250_500.jpg,AMBER BUTTON CARDIGAN (BLACK),GY23CCD04_BK,GLOWNY,"158,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3514097/3514097_16947428246438_500.jpg,AMBER BUTTON CARDIGAN (BROWN),GY23CCD04_BR,GLOWNY,"158,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3514090/3514090_16947427808130_500.jpg,AMBER BUTTON CARDIGAN (WHITE),GY23CCD04_WH,GLOWNY,"158,000원"
GLOWNY,스커트,https://image.msscdn.net/images/goods_img/20230830/3512849/3512849_16956191029228_500.jpg,RUSSELL PLAID MINI SKIRT (BROWN PLAID),GY23CSK008,GLOWNY,"158,000원"
GLOWNY,아우터,https://image.msscdn.net/images/goods_img/20230830/3512766/3512766_16982152626547_500.jpg,LIVAN FUR JACKET (IVORY),GY23CJK003_IV,GLOWNY,"328,000원"
GLOWNY,스커트,https://image.msscdn.net/images/goods_img/20230223/3104488/3104488_16793759488155_500.jpg,VERA SWING SKIRT (BEIGE),23B0008BE,GLOWNY,"98,000원"
GLOWNY,스커트,https://image.msscdn.net/images/goods_img/20230223/3104484/3104484_16793757870587_500.jpg,VERA SWING SKIRT (BLACK),23B0008BK,GLOWNY,"98,000원"
GLOWNY,바지,https://image.msscdn.net/images/goods_img/20230721/3419125/3419125_16899062493330_500.jpg,BUTTON FLY MINI SHORTS (IVORY),23B0013,GLOWNY,"48,000원"
