brand,item_category,item_img,item_name,item_num,item_brand,item_price
PLACESTUDIO,상의,https://image.msscdn.net/images/goods_img/20240116/3798776/3798776_17053936702855_500.jpg,소프트 라운드넥 리브 니트 스웨터,23FK70,PLACE STUDIO,"82,000원 45,100원"
PLACESTUDIO,바지,https://image.msscdn.net/images/goods_img/20230201/3053144/3053144_16752360925847_500.jpg,우먼즈 하이웨스트 데미지 오버사이즈 와이드 데님 팬츠,23S,PLACE STUDIO,"59,000원 35,400원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20220805/2702064/2702064_1_500.jpg,오버핏 레더 투웨이 집업 바시티 점퍼 자켓 [블랙],2208FW,PLACE STUDIO,"113,000원 67,800원"
PLACESTUDIO,상의,https://image.msscdn.net/images/goods_img/20230831/3519379/3519379_16935573740253_500.jpg,오버핏 빈티지 스톤 워싱 데님 셔츠 자켓 (진청),23F88197-7000,PLACE STUDIO,"96,000원 48,000원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20221226/2997206/2997206_16738476325886_500.jpg,우먼즈 베이직 라운드넥 트위드 크롭 자켓,23S,PLACE STUDIO,"84,300원 50,580원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20240123/3815509/3815509_17085628236618_500.jpg,하이넥 투웨이 로고 투톤 니트 집업 가디건 [블랙],24FK76-4500,PLACE STUDIO,"76,500원 45,900원"
PLACESTUDIO,상의,https://image.msscdn.net/images/goods_img/20240123/3815648/3815648_17068391824580_500.jpg,사이드 셔링 로고 포인트 롱 슬리브 티셔츠 [차콜],24F77773-4600,PLACE STUDIO,"59,000원 35,400원"
PLACESTUDIO,상의,https://image.msscdn.net/images/goods_img/20240123/3815700/3815700_17068349320133_500.jpg,데끼 스트링 스티치 로고 슬리브 골지 티셔츠 [블랙],24F77765-4500,PLACE STUDIO,"65,000원 39,000원"
PLACESTUDIO,상의,https://image.msscdn.net/images/goods_img/20240123/3815646/3815646_17079752245094_500.jpg,오버핏 스트링 카라 사이드 셔링 포인트 셔츠 [스카이],24F88617-4200,PLACE STUDIO,"74,000원 37,000원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20230802/3441301/3441301_16910384112864_500.jpg,코듀로이 카라 바시티 투웨이 레더 배색 자켓 점퍼 (그레이),23F88152-4300,PLACE STUDIO,"118,000원 64,900원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20220926/2819317/2819317_14_500.jpg,비건 레더 퍼 오버핏 울 무스탕 무톤 자켓 점퍼 [브라운],23F88110-3100,PLACE STUDIO,"108,300원 75,810원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20240123/3815625/3815625_17085653734880_500.jpg,오버핏 빈티지 에코 레더 더플 카라 박시 트렌치 자켓 [브라운],24F88246-3100,PLACE STUDIO,"115,000원 69,000원"
PLACESTUDIO,바지,https://image.msscdn.net/images/goods_img/20230802/3440671/3440671_16932068567261_500.jpg,비건 레더 핀턱 버뮤다 밴딩 숏 팬츠 (검정),23F88166-4500,PLACE STUDIO,"65,000원 39,000원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20220805/2702050/2702050_1_500.jpg,오버사이즈 블루종 레더 배색 바시티 자켓 점퍼 [카키],2208FW,PLACE STUDIO,"113,000원 67,800원"
PLACESTUDIO,아우터,https://image.msscdn.net/images/goods_img/20230802/3441310/3441310_16910366961074_500.jpg,코듀로이 카라 바시티 투웨이 레더 배색 자켓 점퍼 (베이지),23F88152-1500,PLACE STUDIO,"118,000원 64,900원"
