brand,item_category,item_img,item_name,item_num,item_brand,item_price
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240307/3929203/3929203_17097489849955_500.jpg,Knitted Cable Halter Top Off White,SC24S264WH,SCULPTOR,"42,000원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240307/3929202/3929202_17097489683204_500.jpg,Knitted Cable Halter Top Baby Pink,SC24S264PK,SCULPTOR,"42,000원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240307/3929201/3929201_17097489525510_500.jpg,Knitted Cable Halter Top Black,SC24S264BK,SCULPTOR,"42,000원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240307/3929197/3929197_17097467978974_500.jpg,Stripe Vintage Sweatshirt Black,SC24S202NMBK,SCULPTOR,"79,000원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845020/3845020_17092380464254_500.jpg,Shoelace Shirring Shirt Coquette White,SC24S215WH,SCULPTOR,"109,000원 98,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845019/3845019_17092380536269_500.jpg,Shoelace Shirring Shirt Classic Blue,SC24S215BL,SCULPTOR,"109,000원 98,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845018/3845018_17104776830766_500.jpg,So Classy Tennis Shirt White,SC24S214WH,SCULPTOR,"72,000원 64,800원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845017/3845017_17092380677476_500.jpg,So Classy Tennis Shirt Ice,SC24S214GY,SCULPTOR,"72,000원 64,800원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845016/3845016_17092380747364_500.jpg,So Classy Tennis Shirt Melange Gray,SC24S214MG,SCULPTOR,"72,000원 64,800원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845015/3845015_17092380815055_500.jpg,Button Down Bell Sleeve Tee Ice Gray,SC24S216GY,SCULPTOR,"69,000원 62,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845014/3845014_17092380876483_500.jpg,Button Down Bell Sleeve Tee Blue Gray,SC24S216BL,SCULPTOR,"69,000원 62,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845010/3845010_17092381050637_500.jpg,Cable Collar Knit Zip-Up Dusty Lemon,SC24S112YE,SCULPTOR,"89,000원 80,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845009/3845009_17092381118327_500.jpg,Cable Collar Knit Zip-Up Coral,SC24S112RD,SCULPTOR,"89,000원 80,100원"
SCULPTOR,상의,https://image.msscdn.net/images/goods_img/20240204/3845008/3845008_17092381185897_500.jpg,Cable Collar Knit Zip-Up Moss,SC24S112KH,SCULPTOR,"89,000원 80,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845007/3845007_17092392334845_500.jpg,Pleated Knit Mini Dress Ivory,SC24S301IV,SCULPTOR,"119,000원 107,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845006/3845006_17092381287548_500.jpg,Pleated Knit Mini Dress Red,SC24S301RD,SCULPTOR,"119,000원 107,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845005/3845005_17092381356131_500.jpg,Pleated Knit Mini Dress Black,SC24S301BK,SCULPTOR,"119,000원 107,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845004/3845004_17092381429674_500.jpg,Pleated Knit Mini Dress Multi Stripe,SC24S301MI,SCULPTOR,"119,000원 107,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845003/3845003_17092381502477_500.jpg,Cargo Zip-Up Dress Ice Gray,SC24S302GY,SCULPTOR,"159,000원 143,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845002/3845002_17104775931065_500.jpg,Cargo Zip-Up Dress Soft Brown,SC24S302BR,SCULPTOR,"159,000원 143,100원"
SCULPTOR,원피스,https://image.msscdn.net/images/goods_img/20240204/3845001/3845001_17104775218176_500.jpg,Cargo Zip-Up Dress Charcoal,SC24S302CH,SCULPTOR,"159,000원 143,100원"
SCULPTOR,스커트,https://image.msscdn.net/images/goods_img/20240204/3845000/3845000_17092381703783_500.jpg,Go To Mini Skirt Beige,SC24S408BE,SCULPTOR,"87,000원 78,300원"
