brand,item_category,item_img,item_name,item_num,item_brand,item_price
SIGNATURE,아우터,https://image.msscdn.net/images/goods_img/20231012/3620796/3620796_16981207338478_500.jpg,컷오프 체크 셔츠 자켓[브라운],23FW ST-004,SIGNATURE,"69,000원 19,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20240116/3797037/3797037_17071802919007_500.jpg,벌룬핏 와이드 코튼 팬츠[베이지],24SS-BWD2,SIGNATURE,"53,000원 39,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20230522/3314207/3314207_16847387887759_500.jpg,[2PACK]더블턱 와이드 슬랙스[4colors],SSL-001,SIGNATURE,"115,000원 73,000원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20231107/3690590/3690590_17001359967032_500.jpg,소프트 헤비 코듀로이 원턱 밴딩 팬츠[그린],SCBP-003,SIGNATURE,"59,900원 39,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20230127/3043018/3043018_16751361459693_500.jpg,데일리 밴딩 와이드 슬랙스[네이비],23SL-002,SIGNATURE,"49,000원 9,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20231031/3673124/3673124_17001362515233_500.jpg,샌딩 코듀로이 워싱 팬츠[브라운],23FW PT-007,SIGNATURE,"61,000원 15,900원"
SIGNATURE,상의,https://image.msscdn.net/images/goods_img/20240116/3798343/3798343_17065790679715_500.jpg,논페이드 릴렉스핏 데님 긴팔 셔츠 셋업[딥인디고],24SS-STU1,SIGNATURE,"105,000원 79,000원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20231012/3621081/3621081_16981220175203_500.jpg,오버랩 투턱 울 슬랙스[브라운],23FW WP-003,SIGNATURE,"59,900원 17,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20221017/2869025/2869025_2_500.jpg,코듀로이 투웨이 밴딩 팬츠[아이보리],cd-006,SIGNATURE,"59,000원 39,000원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20200522/1458943/1458943_16928551667830_500.jpg,세미 부츠컷 슬랙스 [그레이],20MPT-16,SIGNATURE,"49,000원 39,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20210830/2097128/2097128_16855999131162_500.jpg,[2PACK]와이드핏 슬랙스[2colors],SET004,SIGNATURE,"118,000원 69,900원"
SIGNATURE,액세서리,https://image.msscdn.net/images/goods_img/20230829/3510924/3510924_16935635628884_500.jpg,꽈배기 벨트[브라운],BT-002,SIGNATURE,"39,900원 29,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20231031/3673180/3673180_17001363630776_500.jpg,코듀로이 원턱 와이드 팬츠[브라운],23FW PT-012,SIGNATURE,"59,000원 39,900원"
SIGNATURE,상의,https://image.msscdn.net/images/goods_img/20240116/3798942/3798942_17078035097346_500.jpg,[2PACK]올시즌 스트라이프 긴팔 티셔츠[3COLORS],24SS-PKG006,SIGNATURE,"79,000원 59,000원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20230127/3043019/3043019_16748140599588_500.jpg,데일리 밴딩 와이드 슬랙스[그레이],23SL-003,SIGNATURE,"49,000원 9,900원"
SIGNATURE,상의,https://image.msscdn.net/images/goods_img/20240116/3797160/3797160_17078019039766_500.jpg,올시즌 브이넥 긴팔 티셔츠[블랙],24SS-VLS1,SIGNATURE,"39,900원 29,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20230807/3447207/3447207_16923267539471_500.jpg,프론트 V턱 와이드 슬랙스[아이보리],23FWSK-006,SIGNATURE,"61,000원 13,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20231031/3673017/3673017_17005532155587_500.jpg,[2PACK]소프트 헤비 코듀로이 원턱 밴딩 팬츠[5COLORS],23FW JK-005,SIGNATURE,"119,000원 59,500원"
SIGNATURE,액세서리,https://image.msscdn.net/images/goods_img/20230221/3095988/3095988_16772309726198_500.jpg,웨스턴 레더 벨트,BT001,SIGNATURE,"39,900원 29,900원"
SIGNATURE,바지,https://image.msscdn.net/images/goods_img/20200522/1458975/1458975_2_500.jpg,3턱 버뮤다 슬랙스[블랙],20SMPT-00,SIGNATURE,"59,000원 15,900원"
