brand,item_category,item_img,item_name,item_num,item_brand,item_price
SLOWACID,상의,https://image.msscdn.net/images/goods_img/20230424/3256998/3256998_16856813467041_500.jpg,그레인 로고 반팔티셔츠 [멜란지 라이트그레이],SL23SU-ST8-MLG,SLOW ACID,"45,000원 40,500원"
SLOWACID,모자,https://image.msscdn.net/images/goods_img/20240206/3848902/3848902_17085116102304_500.jpg,쓰리래빗 볼캡 [챠콜],SL-24SS-C3-CC,SLOW ACID,"52,000원 46,800원"
SLOWACID,상의,https://image.msscdn.net/images/goods_img/20230424/3257056/3257056_16831786600499_500.jpg,우먼스 샤이닝 로고 크롭 반팔티셔츠 [카키],SL23SU-WSCT1-KK,SLOW ACID,"39,000원 9,900원"
SLOWACID,모자,https://image.msscdn.net/images/goods_img/20231024/3652662/3652662_17010526709251_500.jpg,아플리케 빅로고 볼캡 [아이보리],SL23WT-C1-IV,SLOW ACID,"59,000원 19,900원"
SLOWACID,상의,https://image.msscdn.net/images/goods_img/20240206/3848568/3848568_17083188163307_500.jpg,웨이브펑크 스웨트셔츠 [딥네이비],SL-24SS-M5-DNY,SLOW ACID,"79,000원 71,100원"
SLOWACID,바지,https://image.msscdn.net/images/goods_img/20231024/3652632/3652632_17011373337462_500.jpg,사이드 빅로고 조거 스웨트팬츠 [딥블루],SL23WT-P3-DBL,SLOW ACID,"89,000원 35,600원"
SLOWACID,모자,https://image.msscdn.net/images/goods_img/20231024/3652669/3652669_17010530738449_500.jpg,다이스 캠프캡 [더스티핑크],SL23WT-C2-PK,SLOW ACID,"59,000원 19,900원"
SLOWACID,스커트,https://image.msscdn.net/images/goods_img/20230731/3435050/3435050_16933602457307_500.jpg,스티치 심볼 스웨트 롱 스커트 [멜란지그레이],SL23FW-SK1-MG,SLOW ACID,"79,000원 19,900원"
SLOWACID,상의,https://image.msscdn.net/images/goods_img/20230731/3434865/3434865_16928667080297_500.jpg,우먼스 FRAILTY 크롭 롱슬리브 [멜란지 그레이],SL23FW-WLS2-MG,SLOW ACID,"59,000원 9,900원"
SLOWACID,상의,https://image.msscdn.net/images/goods_img/20230731/3434972/3434972_16933756121893_500.jpg,빅 심볼 스웨트셔츠 [블랙],SL23FW-M1-BK,SLOW ACID,"79,000원 19,900원"
